日期	場次	班次	長度	分數範圍	場地	賽道	名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率	熱門	投注	皇牌	配備	操練	地點  度地儀	P賠率	P賠率2	P賠率3	Queue賠率	PQ賠率	PQ賠率2 PQ賠率3
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	8	8	奔馳寶馬(V038)	希威森	蘇保羅	122	1204	10	4-1/4	12 10 10 8	1:22.72	79	-	-	+ 1	B/TT		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	9	10	牛精輝煌(A118)	潘明輝	鄭俊偉	116	1105	7	4-1/4	13 13 11 9	1:22.74	13	-	-	+ 1	H		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	10	4	捉金皇(B460)	史卓豐	方嘉柏	127	1133	11	6-1/4	4 4 5 10	1:23.06	20	-	-	1	H/P		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	11	7	潮州小子(T412)	楊明綸	容天鵬	123	1166	1	7-1/4	9 8 9 11	1:23.20	16	-	-	+ 1	TT		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	12	1	真妙星(C059)	梁家俊	高伯新	133	1183	5	8-1/4	10 12 12 12	1:23.38	46	-	-	1	B/H		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	13	14	幸運飛駒(A092)	蘇狄雄	文家良	114	1056	12	9-1/2	3 2 3 13	1:23.55	127	-	-	1	TT		沙田	2.71							
2019/9/1	5	第四班	1400米	(60-40)	好地	草地 - "B" 賽道	14	9	華麗再現(V326)	黎海榮	沈集成	121	1100	4	13-1/2	11 11 14 14	1:24.22	95	-	-	1	B/H/TT		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	1	4	嘉應精英(C240)	楊明綸	容天鵬	128	1127	3	-	5 4 1	0:57.74	8.3	-	-	1	TT		沙田	2.71	21.5			83.5	31.5	115.0	
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	2	1	舞士精神(C180)	潘頓	方嘉柏	132	1122	8	頸位	3 3 2	0:57.79	2.2	1st Hot	-	+ 1	SR1/TT		沙田	2.71		10.5		83.5	31.5		62.0
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	3	5	陽光大地(A130)	陳嘉熙	高伯新	118	1092	11	1-1/4	9 10 3	0:57.94	15	-	-	+ 1	B		沙田	2.71			35.0			115.0	62.0
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	4	6	特醒(C060)	沈拿	韋達	127	1140	5	1-1/2	12 13 4	0:57.96	41	-	-	1	B/XB/TT-		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	5	10	紅旺(C341)	潘明輝	葉楚航	121	1158	9	2	4 5 5	0:58.04	103	-	-	2	 		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	6	9	天地僑福(C438)	蘇狄雄	葉楚航	122	1077	6	2-3/4	8 11 6	0:58.19	184	-	-	1	 		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	7	7	愛添勝(B362)	薛恩	何良	127	1089	7	3-3/4	11 9 7	0:58.34	13	-	-	+ 1	 		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	8	13	奇妙日(B332)	田泰安	苗禮德	122	1181	12	4	2 2 8	0:58.39	9.8	-	-	+ 1	B/TT		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	9	2	奮鬥同心(C314)	莫雷拉	姚本輝	131	1188	13	4-3/4	1 1 9	0:58.49	3.1	2nd Hot	-	+ 1	CP1		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	10	8	齊齊發(B356)	蔡明紹	鄭俊偉	126	1200	2	5-1/4	10 8 10	0:58.56	77	-	-	+ 1	B1		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	11	11	表表馬(C233)	李寶利	丁冠豪	124	1141	4	5-1/4	14 14 11	0:58.57	242	-	-	1	H1		沙田	2.71							
